Rank,Name,Publisher,Developer,Platform,Release_date,Genre,Sales_NA,Sales_PAL,Sales_JP,Sales_Other,Sales_Globe
72,Call of Duty: Ghosts,Activision,Infinity Ward,PS3,2013,Shooter,4.11,4.01,0.39,1.62,10.13
73,Halo: Reach,Microsoft Game Studios,Bungie,X360,2010,Shooter,7.08,2.01,0.08,0.8,9.97
74,Halo 4,Microsoft Studios,343 Industries,X360,2012,Shooter,6.72,2.36,0.04,0.83,9.96
75,Mario Kart 64,Nintendo,Nintendo EAD,N64,1997,Racing,5.55,1.94,2.23,0.15,9.87
76,Minecraft,Microsoft Studios,Mojang,X360,2013,Misc,5.96,2.94,0.02,0.9,9.82
77,Final Fantasy VII,Sony Computer Entertainment,SquareSoft,PS,1997,Role-Playing,3.01,2.47,3.28,0.96,9.72
78,Gran Turismo 2,Sony Computer Entertainment,Polyphony Digital,PS,1999,Racing,3.88,3.42,1.69,0.5,9.49
79,The Legend of Zelda: Breath of the Wild,Nintendo,Nintendo EPD,NS,2017,Action-Adventure,4.54,2.94,1.26,0.73,9.46
80,Just Dance 2,Ubisoft,Ubisoft Paris,Wii,2010,Misc,5.8,2.86,0.01,0.77,9.45
81,Call of Duty 4: Modern Warfare,Activision,Infinity Ward,X360,2007,Shooter,5.98,2.39,0.13,0.91,9.41
82,Call of Duty: Black Ops IIII,Activision,Treyarch,PS4,2018,Shooter,4.05,3.28,0.5,1.49,9.32
83,Donkey Kong Country,Nintendo,Rare Ltd.,SNES,1994,Platform,4.36,1.71,3.0,0.23,9.3
84,FIFA 19,Electronic Arts,EA Sports,PS4,2018,Sports,0.84,6.87,0.1,1.34,9.15
85,Super Smash Bros. Ultimate,Nintendo,Bandai Namco Games,NS,2018,Fighting,4.22,1.72,2.41,0.61,8.95
86,Mario Party DS,Nintendo,Hudson Soft,DS,2007,Misc,4.4,1.86,1.98,0.69,8.93
87,The Elder Scrolls V: Skyrim,Bethesda Softworks,Bethesda Game Studios,X360,2011,Role-Playing,5.1,2.83,0.1,0.85,8.88
88,Super Mario Kart,Nintendo,Nintendo EAD,SNES,1992,Racing,3.54,1.24,3.81,0.18,8.76
89,Marvel's Spider-Man,Sony Interactive Entertainment,Insomniac Games,PS4,2018,Action-Adventure,3.64,3.39,0.32,1.41,8.76
90,Grand Theft Auto V,Rockstar Games,Rockstar North,XOne,2014,Action,4.7,3.25,0.01,0.76,8.72
