Rank,Name,Publisher,Developer,Platform,Release_date,Genre,Sales_NA,Sales_PAL,Sales_JP,Sales_Other,Sales_Globe
11960,Red Faction: Armageddon,THQ,Volition Inc.,PC,2011,Shooter,0.05,0.02,,0.01,0.09
11961,Karaoke Joysound Wii DX,Hudson Soft,Xing Inc.,Wii,2009,Misc,,,0.09,,0.09
11962,Sloane to MacHale no Nazo no Monogatari 2,Level 5,Level 5,DS,2009,Puzzle,,,0.09,,0.09
11963,Great Party Games,O-Games,TBD,Wii,2010,Misc,,0.08,,0.01,0.09
11964,Tabi no Yubisashi Kaiwachou DS: DS Series 4 America,Nintendo,TOSE,DS,2006,Misc,,,0.09,,0.09
11965,Invasion From Beyond,GT Interactive,King of the Jungle,PS,1998,Shooter,0.05,0.03,,0.01,0.09
11966,Crash Boom Bang!,Sierra Entertainment,Dimps Corporation,DS,2006,Misc,0.07,0.01,,0.01,0.09
11967,Forgotten Realms: Demon Stone,Atari,Stormfront Studios,XB,2004,Action,0.06,0.02,,0.0,0.09
11968,Major League Baseball 2K7,2K Sports,Visual Concepts,PSP,2007,Sports,0.08,,,0.01,0.09
11969,Lara Croft and the Temple of Osiris,Square Enix,Crystal Dynamics,PS4,2014,Action,,0.07,,0.01,0.09
11970,LEGO Star Wars II: The Original Trilogy,LucasArts,Amaze Entertainment,GBA,2006,Action,0.06,0.02,,0.0,0.09
11971,Criminal Girls 2: Party Favors,NIS America,Nippon Ichi Software,PSV,2016,Role-Playing,0.03,0.01,0.03,0.01,0.09
11972,Tim Burton's The Nightmare Before Christmas: Oogie's Revenge,Buena Vista,Capcom,XB,2005,Adventure,0.06,0.02,,0.0,0.09
11973,Mahjong Master,Konami,Konami Computer Entertainment Osaka,N64,1996,Misc,,,0.09,,0.09
11974,Grand Theft Auto: The Trilogy,Rockstar Games,Rockstar North,XB,2005,Adventure,0.06,0.02,,0.0,0.09
11975,Top Gear Rally,Nintendo,Tantalus Interactive,GBA,2003,Racing,0.06,0.02,,0.0,0.09
11976,South Park: The Fractured But Whole,Ubisoft,Ubisoft San Francisco,PC,2017,Role-Playing,0.05,0.03,,0.01,0.09
11977,Data East Arcade Classics,Majesco,G1M2,Wii,2010,Misc,0.08,,,0.01,0.09
11978,LEGO Batman: The Videogame,Warner Bros. Interactive,Traveller's Tales,PC,2008,Adventure,0.04,0.03,,0.01,0.09
11979,MXGP 3: The Official Motocross Videogame,Milestone,Milestone,XOne,2017,Racing,0.06,0.02,,0.01,0.09
11980,L: the proLogue to DEATH NOTE - Rasen no Wana,Konami,Konami,DS,2008,Adventure,,,0.09,,0.09
11981,Famicom Mini: Makaimura,Capcom,Capcom,GBA,2004,Platform,,,0.08,0.0,0.09
11982,ShellShock 2: Blood Trails,Eidos Interactive,Rebellion Developments,X360,2009,Shooter,0.05,0.03,,0.01,0.09
11983,XIII,Ubisoft,Ubisoft Paris,GC,2003,Shooter,0.07,0.02,,0.0,0.09
11984,Dragon's Dogma Online,Capcom,Capcom,PS4,2015,Role-Playing,,,0.09,,0.09
11985,Uta no Prince-Sama: All Star After Secret,Broccoli,Unknown,PSP,2015,Action,,,0.09,,0.09
11986,The Incredibles: Rise of the Underminer,THQ,Heavy Iron Studios,XB,2005,Action,0.06,0.02,,0.0,0.09
11987,Theme Hospital,Electronic Arts,Krisalis Software,PS,1998,Strategy,0.03,0.02,0.03,0.01,0.09
11988,Busy Scissors,Little Orbit,Little Orbit,Wii,2010,Simulation,0.08,0.0,,0.01,0.09
11989,Captain America: Super Soldier,Sega,Sega,3DS,2011,Action,0.05,0.03,,0.01,0.09
11990,Shining Resonance Refrain,Sega,Media.Vision,NS,2018,Role-Playing,0.05,0.01,0.01,0.01,0.09
11991,Wizardry: Tale of the Forsaken Land,Atlus,Racjin,PS2,2001,Role-Playing,0.04,0.03,,0.01,0.09
11992,F.E.A.R. Files,Sierra Entertainment,TimeGate Studios/Day 1 Studios,X360,2007,Shooter,0.07,0.01,,0.01,0.09
11993,ChuChu Rocket!,Sega,Sonic Team,GBA,2001,Puzzle,0.06,0.02,,0.0,0.09
11994,Wacky World of Sports,Sega,Sega,Wii,2009,Sports,0.08,0.0,,0.01,0.09
11995,FIFA Soccer 12,EA Sports,EA Canada,PS2,2011,Sports,,0.02,,0.06,0.09
11996,Indianapolis 500 Legends,Destineer,Torus Games,DS,2007,Racing,0.08,,,0.01,0.09
11997,Codename Tenka,Sony Computer Entertainment,Psygnosis,PS,1997,Shooter,0.05,0.03,,0.01,0.09
11998,Destroy All Humans! Path of the Furon,Unknown,Sandblast Games,PS3,2020,Action,,0.08,,0.01,0.09
11999,Cloudy With a Chance of Meatballs,Ubisoft,Ubisoft Shanghai,X360,2009,Adventure,0.07,0.0,,0.01,0.09
12000,Savage Skies,BAM! Entertainment,iRock Interactive,PS2,2002,Shooter,0.04,0.03,,0.01,0.09
12001,My Make-Up,O-Games,Oxygen Interactive,DS,2009,Misc,0.08,0.0,,0.01,0.09
12002,Sega Bass Fishing,Sega,Sega-AM1,DC,1999,Sports,,,0.09,0.0,0.09
12003,Walt Disney's The Jungle Book: Rhythm N'Groove,Ubisoft,Ubisoft,PS,2000,Misc,0.05,0.03,,0.01,0.09
12004,Major League Baseball 2K9,2K Sports,Visual Concepts,PSP,2009,Sports,0.08,,0.0,0.01,0.09
12005,Cyberia,Interplay,"Xatrix Entertainment, Inc.",PS,1996,Adventure,0.05,0.03,,0.01,0.09
12006,Killer7,Capcom,Grasshopper Manufacture,PS2,2005,Action,0.04,0.03,0.0,0.01,0.09
12007,Million God,Nippon Amuse,Nippon Amuse,PS2,2002,Misc,,,0.09,,0.09
12008,Nikoli's Pencil Puzzle,Konami,Hudson Soft,3DS,2011,Puzzle,0.05,0.03,,0.01,0.09
12009,50 Cent: Bulletproof,Vivendi Games,High Voltage Software,PSP,2006,Action,0.08,0.0,,0.01,0.09
12010,Lost Heroes,Namco Bandai Games,Banpresto,3DS,2012,Role-Playing,,,0.09,,0.09
12011,Charlotte's Web,Sega,Backbone Entertainment,DS,2006,Action,0.08,0.0,,0.01,0.09
12012,1 vs. 100,DSI Games,ECI,DS,2008,Misc,0.08,,,0.01,0.09
12013,Astro Boy,Sega,Sonic Team,PS2,2004,Action,0.04,0.03,,0.01,0.09
12014,Monster Jam: Urban Assault,Activision,Torus Games,PSP,2008,Racing,0.08,0.0,,0.01,0.09
12015,Monster House,THQ,Artificial Mind and Movement,GBA,2006,Adventure,0.06,0.02,,0.0,0.09
12016,Wing Commander IV: The Price of Freedom,Origin Systems,"Origin Systems, Inc.",PS,1997,Simulation,0.05,0.03,,0.01,0.09
12017,Thomas & Friends: Hero of the Rails,Majesco,Barnstorm Games,DS,2010,Misc,0.0,0.07,,0.01,0.09
12018,MetropolisMania,Natsume,Indi Software,PS2,2002,Strategy,0.04,0.03,,0.01,0.09
12019,Bomberman Land Touch!,Atlus,Hudson Soft,DS,2006,Puzzle,0.04,0.0,0.04,0.0,0.09
12020,Shin Megami Tensei: Devil Summoner - Raidou Kuzunoha vs the Soulless Army,Atlus,Atlus Co.,PS2,2006,Role-Playing,,,0.09,,0.09
12021,Bladestorm: Nightmare,Tecmo Koei,Omega Force,XOne,2015,Action,0.06,0.02,,0.01,0.08
12022,Dungeon Maker II: The Hidden War,UFO Interactive,Global A Entertainment,PSP,2008,Role-Playing,0.07,,,0.01,0.08
12023,Risen 3: Titan Lords,Deep Silver,Piranha Bytes,PS3,2014,Role-Playing,0.02,0.05,,0.01,0.08
12024,NCAA Football 08,EA Sports,EA Tiburon,XB,2007,Sports,0.06,0.02,,0.0,0.08
12025,Princess Maker 2,Micro Cabin,Gainax,SAT,1995,Simulation,,,0.08,0.0,0.08
12026,Ephemeral Fantasia,Konami,Konami,PS2,2001,Role-Playing,0.04,0.03,,0.01,0.08
12027,SRS: Street Racing Syndicate,Namco,Eutechnyx,GC,2004,Racing,0.07,0.02,,0.0,0.08
12028,Winter Sports 2: The Next Challenge,Conspiracy Entertainment,49Games,PS2,2008,Sports,0.04,0.03,,0.01,0.08
12029,MXGP 3: The Official Motocross Videogame,Milestone S.r.l.,Milestone,NS,2017,Racing,0.06,0.02,,0.01,0.08
12030,Are You Smarter Than a 5th Grader? Back to School,THQ,THQ,DS,2010,Misc,0.08,,,0.01,0.08
12031,Aibou DS,Tecmo,Tecmo,DS,2009,Adventure,,,0.08,,0.08
12032,Animal Planet: Emergency Vets,Activision,SilverBirch Studios,DS,2009,Simulation,0.08,0.0,,0.01,0.08
12033,Tokimeki Memorial: Taisen Pazurudama,Konami,Konami,SAT,1996,Puzzle,,,0.08,0.0,0.08
12034,FIFA 18,EA Sports,EA Vancouver,PC,2017,Sports,,0.08,,0.0,0.08
12035,Guilty Gear XX Accent Core Plus,Aksys Games,Arc System Works,PSP,2009,Fighting,0.03,0.01,0.04,0.01,0.08
12036,Beat Sketch!,Sony Computer Entertainment,"Will Co., Ltd. Noisycroak",PS3,2010,Misc,,,0.08,,0.08
12037,Monster Energy Supercross - The Official Videogame,Milestone S.r.l.,Milestone S.r.l.,XOne,2018,Racing,0.08,,,0.01,0.08
12038,America's Greatest Game Shows: Wheel of Fortune & Jeopardy!,Ubisoft,Ubisoft,XOne,2017,Misc,0.08,,,0.01,0.08
12039,Jaws: Ultimate Predator,Majesco,Tectonic Studios,Wii,2011,Action,0.08,,,0.01,0.08
12040,Bleach: Heat the Soul 5,Sony Computer Entertainment,Eighting,PSP,2008,Fighting,,,0.08,,0.08
12041,Nano Assault,Majesco,Shin'en Multimedia,3DS,2011,Shooter,0.08,,,0.01,0.08
12042,Koudelka,SNK,Sacnoth,PS,1999,Role-Playing,0.05,0.03,,0.01,0.08
12043,Exit,Ubisoft,Taito Corporation,PSP,2006,Puzzle,0.07,0.0,,0.01,0.08
12044,IHRA Drag Racing: Sportsman Edition,Bethesda Softworks,Bethesda Softworks,PS2,2006,Racing,0.04,0.03,,0.01,0.08
12045,Virtua Fighter CG Portrait Series Vol.2: Jacky Bryant,Sega,Sega-AM2,SAT,1995,Misc,,,0.08,,0.08
12046,Famicom Mini: Famicom Mukashi Banashi - Shin Oniga Shima Zenkouhen,Nintendo,Pax Softonica,GBA,2004,Adventure,,,0.08,0.0,0.08
12047,Ski-Doo Snowmobile Challenge,Valcon Games,ColdWood Interactive,Wii,2009,Racing,0.08,,,0.01,0.08
12048,F1 2016,Codemasters,Codemasters,PC,2017,Racing,,0.08,,0.0,0.08
12049,The Sims 3: Barnacle Bay,Electronic Arts,Maxis,PC,2011,Simulation,0.08,,,0.01,0.08
12050,America's Army: True Soldiers,Ubisoft,Red Storm Entertainment,X360,2007,Shooter,0.08,,,0.01,0.08
12051,Lost Dimension,Atlus,Lancarse,PS3,2015,Role-Playing,0.06,0.01,0.0,0.01,0.08
12052,Ghostbusters (2016),Activision,FireForge Games,PS4,2016,Action,0.07,,,0.02,0.08
12053,How to Train Your Dragon 2,Little Orbit,Torus Games,WiiU,2014,Action-Adventure,0.03,0.05,,0.01,0.08
12054,Pachitte Chonmage Tatsujin 13: Pachinko Hissatsu Shigotojin III,Hackberry,Hack Berry,PS2,2007,Misc,,,0.08,,0.08
12055,Konami Classics Vol. 1,Konami,Konami,X360,2009,Misc,0.08,,,0.01,0.08
12056,Wreckin Crew,Telstar,Quickdraw Developments Ltd.,PS,1998,Racing,0.05,0.03,,0.01,0.08
12057,Theme Park,Electronic Arts,Bullfrog Production,SAT,1995,Simulation,,,0.08,,0.08
12058,Famicom Mini: Mario Bros.,Nintendo,Nintendo EAD,GBA,2004,Platform,,,0.08,0.0,0.08
12059,Rescue Heroes: Billy Blazes,Vivendi Games,WayForward Technologies,GBA,2003,Action,0.06,0.02,,0.0,0.08
12060,RockMan EXE 4.5 Real Operation,Capcom,Capcom,GBA,2004,Role-Playing,,,0.08,0.0,0.08
12061,Don King Boxing,2K Sports,Venom Games,DS,2009,Sports,0.06,0.02,,0.01,0.08
12062,Frantix,Sony Online Entertainment,Killer Game,PSP,2005,Puzzle,0.08,0.0,,0.01,0.08
12063,Princess Isabella: A Witch's Curse,GSP,Gogii Games,DS,2010,Adventure,0.05,0.03,,0.01,0.08
12064,Agatha Christie's The ABC Murders,Unfinished Pixel,Artefacts Studio,PS4,2016,Adventure,0.05,0.02,,0.02,0.08
12065,Sega GT Online,Sega,Wow Entertainment,XB,2004,Racing,0.06,0.02,,0.0,0.08
12066,Derby Tsuku: Derby Uma o Tsukurou!,Sega,Sega,DC,2000,Sports,,,0.08,0.0,0.08
12067,Knights in the Nightmare,Atlus,Sting,DS,2009,Role-Playing,0.06,,0.02,0.0,0.08
12068,TT Isle of Man: Ride on the Edge,Big Ben Interactive,Kylotonn,XOne,2018,Racing,0.05,0.03,,0.01,0.08
12069,Marvel Nemesis: Rise of the Imperfects,Electronic Arts,Sensory Sweep Studios,DS,2005,Fighting,0.08,0.0,,0.01,0.08
12070,SeaWorld Adventure Parks: Shamu's Deep Sea Adventure,Activision,Humagade,GBA,2005,Adventure,0.06,0.02,,0.0,0.08
12071,Nights of Azure,Tecmo Koei,Gust,PSV,2016,Role-Playing,,,0.08,,0.08
12072,Smart Bomb,Eidos Interactive,Core Design Ltd.,PSP,2005,Puzzle,0.07,,,0.01,0.08
12073,Deadliest Catch: Sea of Chaos,Crave Entertainment,Double Tap,PS3,2010,Sports,0.08,,,0.01,0.08
12074,Prisoner of War,Codemasters,Wide Games,XB,2002,Adventure,0.06,0.02,,0.0,0.08
12075,Blacksite: Area 51,Midway Games,Midway Studios Austin,PS3,2007,Shooter,0.07,0.01,,0.01,0.08
12076,Knights Contract,Namco Bandai,Game Republic,PS3,2011,Action,0.04,0.03,,0.01,0.08
12077,S.C.A.R.S,Ubisoft,Vivid Image,PS,1998,Racing,0.05,0.03,,0.01,0.08
12078,The King of Fighters '98: Dream Match Never Ends,SNK,SNK Corporation,PS,1999,Fighting,0.05,0.03,,0.01,0.08
12079,Age of Mythology,Microsoft Game Studios,Ensemble Studios,PC,2002,Strategy,0.02,0.06,,0.01,0.08
12080,Face Racers: Photo Finish,Majesco,Renegade Kid,3DS,2011,Racing,0.08,,,0.01,0.08
12081,The Penguins of Madagascar: Dr. Blowhole Returns - Again!,THQ,THQ,PS3,2011,Action,0.04,0.04,,0.01,0.08
12082,Hammerin' Hero,Atlus,Irem Software Engineering,PSP,2009,Action,0.07,,,0.01,0.08
12083,ESPN NFL PrimeTime 2002,Konami,Farsight Technologies,PS2,2001,Sports,0.04,0.03,,0.01,0.08
12084,Murder in Venice,City Interactive,City Interactive,DS,2011,Adventure,0.05,0.03,,0.01,0.08
12085,Warriors Orochi 3 Hyper,Tecmo Koei,Koei,WiiU,2012,Action,0.04,0.03,0.02,0.01,0.08
12086,Zoids: Legacy,Atari,Amedio,GBA,2004,Role-Playing,0.06,0.02,,0.0,0.08
12087,X Rebirth,Egosoft,Egosoft,PC,2013,Simulation,,0.08,,0.0,0.08
12088,Get Fit with Mel B,Deep Silver,Lightning Fish,Wii,2011,Sports,0.03,0.05,,0.01,0.08
12089,Kidou Senshi Gundam 00,Namco Bandai,Bandai Namco Games,DS,2008,Action,,,0.08,,0.08
12090,Kamen Rider Travelers Record,Bandai Namco Games,7thChord,3DS,2013,Role-Playing,,,0.08,,0.08
12091,Cloudy With a Chance of Meatballs,Ubisoft,Ubisoft Shanghai,PSP,2009,Adventure,0.07,0.0,,0.01,0.08
12092,Dead Island Definitive Collection,Deep Silver,Techland,XOne,2016,Action,0.05,0.03,,0.01,0.08
12093,Ride 2,Milestone S.r.l,Milestone S.r.l.,XOne,2017,Racing,0.06,0.01,,0.01,0.08
12094,Shantae: Half-Genie Hero,Xseed Games,Way Forward Technologies,PS4,2016,Platform,0.06,,0.01,0.01,0.08
12095,Mad Dog McCree: Gunslinger Pack,Majesco,Digital Leisure,Wii,2009,Shooter,0.07,0.0,,0.01,0.08
12096,Onimusha Tactics,Capcom,Capcom,GBA,2003,Strategy,0.06,0.02,,0.0,0.08
12097,Bomberman Jetters,Majesco,Hudson Soft,GC,2004,Puzzle,0.06,0.02,,0.0,0.08
12098,Gray Matter,Viva Media,Wizarbox Studios,PC,2011,Adventure,0.02,0.05,,0.01,0.08
12099,TOCA Race Driver 3: The Ultimate Racing Simulator,Codemasters,Codemasters,PS2,2006,Racing,0.04,0.03,,0.01,0.08
12100,Harvey Birdman: Attorney at Law,Capcom,High Voltage Software,Wii,2008,Adventure,0.08,,,0.01,0.08
12101,Cartoon Network: Battle Crashers,GameMill Entertainment,Magic Pockets,NS,2017,Action,0.04,0.04,,0.01,0.08
12102,Samurai Warriors Chronicles 3,Tecmo Koei,Omega Force,3DS,2015,Action,,,0.08,,0.08
12103,Air Conflicts: Secret Wars,Kalypso,Games Farm,X360,2011,Simulation,0.06,0.02,,0.01,0.08
12104,WSC Real 11: World Snooker Championship,Koch Media,Dark Energy Digital,PS3,2011,Sports,,0.07,,0.02,0.08
12105,Pac-Man Power Pack,Namco Bandai,Namco Bandai Games America,PS2,2008,Misc,0.04,0.03,,0.01,0.08
12106,The Secret Saturdays: Beasts of the 5th Sun,D3 Publisher,OneNine Studios,DS,2009,Action,0.08,0.0,,0.01,0.08
12107,Disney's Donald Duck: Goin' Quackers,Ubisoft,Disney Interactive Studios,PS2,2000,Platform,0.04,0.03,,0.01,0.08
12108,SingStar: Made In Germany,Sony Computer Entertainment,SCEE London Studio,PS3,2009,Misc,,0.07,,0.02,0.08
12109,Charm Girls Club: My Fashion Show,Electronic Arts,Electronic Arts Casual Studios,DS,2009,Simulation,0.08,,,0.01,0.08
12110,Elite: Dangerous,Frontier Developments,Frontier Developments,XOne,2017,Simulation,0.07,,,0.01,0.08
12111,Ultimate Brain Games,Telegames,Cosmigo,GBA,2003,Misc,0.06,0.02,,0.0,0.08
12112,Martian Panic,Zoo Games,Norbert Palacz,Wii,2010,Adventure,0.08,0.0,,0.01,0.08
12113,Armorines: Project S.W.A.R.M.,Acclaim Entertainment,Probe Entertainment,PS,2000,Shooter,0.05,0.03,,0.01,0.08
12114,Gundam Seed: Battle Assault,Bandai,Bandai,GBA,2004,Fighting,0.06,0.02,,0.0,0.08
12115,Chibi Maruko-Chan: Harikiri 365-Nichi no Maki,Epoch,SAS Sakata,SNES,1991,Misc,,,0.08,0.0,0.08
12116,101-in-1 Sports Megamix,Atlus,Nordcurrent,DS,2010,Sports,0.08,0.0,,0.01,0.08
12117,SaGa 3: Jikuu no Hasha - Shadow or Light,Square Enix,Square Enix,DS,2011,Role-Playing,,,0.08,,0.08
12118,We Sing Rock!,Nordic Games,Le Cortex,Wii,2011,Misc,,0.07,,0.01,0.08
12119,Just Dance: Disney Party 2,Ubisoft,Ubisoft San Francisco,XOne,2015,Music,0.06,0.01,,0.01,0.08
12120,Aliens versus Predator: Extinction,Electronic Arts,Zono Incorporated,XB,2003,Strategy,0.06,0.02,,0.0,0.08
12121,Famicom Mini: Adventure Island,Hudson Soft,Hudson,GBA,2004,Action,,,0.08,0.0,0.08
12122,RTX Red Rock,LucasArts,LucasArts,PS2,2003,Shooter,0.04,0.03,,0.01,0.08
12123,FIFA Street 2,EA Sports BIG,EA Canada,XB,2006,Sports,0.06,0.02,,0.0,0.08
12124,Tokimeki Memorial: Girl's Side,Konami,Tenky,PS2,2002,Adventure,,,0.08,,0.08
12125,Shining Force: Resurrection of the Dark Dragon,Atlus,Amusement Vision,GBA,2004,Role-Playing,0.06,0.02,,0.0,0.08
12126,Shining Soul II,Atlus,Grasshopper Manufacture,GBA,2004,Role-Playing,0.06,0.02,,0.0,0.08
12127,Orega Kantoku Da! Gekitou Pennant Race,Enix,Enix Corporation,PS2,2000,Sports,,,0.08,,0.08
12128,Hello Kitty: Roller Rescue,Namco,XPEC,GC,2005,Action,0.06,0.02,,0.0,0.08
12129,Jikkyou Powerful Pro Yakyuu 12,Konami,PawaPuro Production,GC,2005,Sports,,,0.08,0.0,0.08
12130,Metal Slug Advance,SNK,Noise Factory,GBA,2004,Shooter,0.06,0.02,,0.0,0.08
12131,Pac-Man World Rally,Namco Bandai,Smart Bomb Interactive,GC,2006,Racing,0.06,0.02,,0.0,0.08
12132,Blazing Angels: Squadrons of WWII,Ubisoft,Ubisoft Romania,XB,2006,Simulation,0.06,0.02,,0.0,0.08
12133,Gradius Galaxies,Konami,Mobile 21,GBA,2001,Shooter,0.06,0.02,,0.0,0.08
12134,Mortal Kombat Kollection,Midway Games,Midway,PS2,2008,Fighting,0.04,0.03,,0.01,0.08
12135,Blades of Blood: Samurai Shodown III,Sony Computer Entertainment,Ukiyotei,PS,1996,Fighting,0.05,0.03,,0.01,0.08
12136,Earth Defense Force 4.1: The Shadow of New Despair,Xseed Games,Sandlot,PS4,2015,Shooter,0.05,0.02,,0.01,0.08
12137,LEGO Soccer Mania,LEGO Media,Silicon Dreams,PS2,2002,Sports,0.04,0.03,,0.01,0.08
12138,"Sesame Street: Ready, Set, Grover!",Warner Bros. Interactive,Warner Bros. Interactive Entertainment,DS,2011,Misc,0.08,,,0.01,0.08
12139,Gundam the 3D Battle,Namco Bandai,Namco Bandai Games,3DS,2011,Action,,,0.08,,0.08
12140,Pretty Rhythm Rainbow Live: Kira Kira My * Design,Takara Tomy,Takara Tomy ARTS,3DS,2013,Simulation,,,0.08,,0.08
12141,Midnight Play! Pack,Ubisoft,Gameloft,DS,2008,Misc,0.08,0.0,,0.01,0.08
12142,NHL 2K7,2K Sports,2K Sports,X360,2006,Sports,0.07,0.0,,0.01,0.08
12143,PAC-MAN and the Ghostly Adventures,Namco Bandai Games,Monkey Bar Games,PS3,2013,Platform,0.03,0.04,,0.01,0.08
12144,Playmobil Pirates,DreamCatcher Interactive,Morgen Studios,DS,2009,Action,0.07,0.0,,0.01,0.08
12145,Miami Nights: Singles in the City,Ubisoft,Gameloft,DS,2008,Simulation,0.08,0.0,,0.01,0.08
12146,Death Jr. and the Science Fair of Doom,Konami,Foundation 9 Entertainment,DS,2007,Platform,0.08,,,0.01,0.08
12147,Godzilla Generations,Sega,General Entertainment,DC,1998,Action,,,0.08,0.0,0.08
12148,Strider 2,Capcom,Capcom,PS,2000,Platform,0.05,0.03,,0.01,0.08
12149,Forbidden Siren 2,Sony Computer Entertainment,SCE Japan Studio,PS2,2006,Action,,,0.08,,0.08
12150,Board Game Classics,"Destination Software, Inc",DSI Games,GBA,2005,Misc,0.06,0.02,,0.0,0.08
12151,Build 'n Race,Zoo Games,Icon Games,Wii,2009,Racing,0.08,,,0.01,0.08
12152,Ben 10 (2017),Outright Games,Torus Games,NS,2017,Action,0.04,0.03,,0.01,0.08
12153,BlazBlue: Chrono Phantasma,Arc System Works,Arc System Works,PSV,2014,Fighting,0.04,,0.03,0.01,0.08
12154,Petz: Dogz Family,Ubisoft,Ubisoft,PSP,2009,Simulation,0.05,0.02,,0.01,0.08
12155,Shin Megami Tensei: Digital Devil Saga 2,Atlus,Atlus Co.,PS2,2005,Role-Playing,0.04,0.03,,0.01,0.08
12156,The Legend of Heroes: Trails in the Sky First Chapter,Kadokawa Shoten,Nihon Falcom Corporation,PSV,2015,Role-Playing,,,0.08,,0.08
12157,Adventure Time: The Secret of the Nameless Kingdom,Little Orbit,WayForward Technologies,3DS,2014,Adventure,0.0,0.08,,0.0,0.08
12158,Counter-Strike: Source,VU Games,Valve Software,PC,2004,Shooter,,0.07,,0.01,0.08
12159,Zatch Bell! Mamodo Battles,Bandai,Eighting,PS2,2005,Fighting,0.04,0.03,,0.01,0.08
12160,Spintires: MudRunner - American Wilds,Focus Home Interactive,Saber Interactive,PS4,2018,Racing,0.07,,,0.02,0.08
12161,The Sims 2: Apartment Life,Electronic Arts,Maxis,PC,2008,Simulation,,0.08,,0.01,0.08
12162,ShellShock 2: Blood Trails,Eidos Interactive,Rebellion Developments,PS3,2009,Shooter,0.04,0.03,,0.01,0.08
12163,Naruto Shippuden: Shinobi Rumble!!,Takara Tomy,Takara Tomy,DS,2011,Fighting,0.03,,0.05,0.0,0.08
12164,Dream Day: Wedding Destinations,THQ,THQ,DS,2009,Simulation,0.08,,,0.01,0.08
12165,Me & My Katamari (JP sales),Namco,Namco,PSP,2006,Puzzle,,,0.08,,0.08
12166,Star Wars: Empire at War,LucasArts,Petroglyph Games,PC,2006,Strategy,0.01,0.07,,0.01,0.08
12167,RollerCoaster Tycoon 3: Platinum,Atari,Frontier Developments,PC,2006,Strategy,0.01,0.06,,0.01,0.08
12168,The Hidden,Majesco,1st Playable Productions,3DS,2011,Adventure,0.08,,,0.01,0.08
12169,Iron Man / X-O Manowar in Heavy Metal,Acclaim Entertainment,"Realtime Associates, Inc.",PS,1996,Platform,0.05,0.03,,0.01,0.08
12170,Derby Stallion 98,ASCII Entertainment,ASCII Entertainment,SNES,1998,Sports,,,0.08,,0.08
12171,Pimp My Ride: Street Racing,Activision,Virtuos,PS2,2009,Racing,0.04,0.03,,0.01,0.08
12172,Pretty Rhythm: My Deco Rainbow Wedding,Takara Tomy,Takara Tomy ARTS,3DS,2013,Simulation,,,0.08,,0.08
12173,Robotron X,Midway Games,Player 1,PS,1996,Shooter,0.05,0.03,,0.01,0.08
12174,The Spiderwick Chronicles,Sierra Entertainment,Stormfront Studios,DS,2008,Adventure,0.07,0.0,,0.01,0.08
12175,Touch Mechanic,Aspyr,Kando Games,DS,2009,Simulation,0.08,,,0.01,0.08
12176,Sushi Academy,City Interactive,DTP Entertainment,DS,2009,Action,0.08,,,0.01,0.08
12177,J-League Winning Eleven 2009: Club Championship,Konami,Konami,PS2,2009,Sports,,,0.08,,0.08
12178,Grand Prix Challenge,Atari,Atari,PS2,2003,Racing,0.04,0.03,,0.01,0.08
12179,Meitantei Conan & Kindaichi Shounen no Jikenbou: Meguri au Futari no Meitantei,Namco Bandai,Bandai Namco Games,DS,2009,Adventure,,,0.08,,0.08
12180,FIFA Soccer 2005,EA Sports,EA Canada,GBA,2004,Sports,0.06,0.02,,0.0,0.08
12181,Puzzler Mind Gym 3D,Ubisoft,Ubisoft,3DS,2011,Puzzle,0.07,,,0.01,0.08
12182,Kenka Banchou 6: Soul & Blood,Spike Chunsoft,Spike Chunsoft,3DS,2015,Fighting,,,0.08,,0.08
12183,PoPoLoCrois (JP sales),Agetec,G-Artists,PSP,2005,Role-Playing,,,0.08,,0.08
12184,Supremacy MMA,505 Games,Kung Fu Factory,X360,2011,Fighting,0.05,0.02,,0.01,0.08
12185,DaGeDar,GameMill,GameMill Entertainment,DS,2011,Action,0.08,,,0.01,0.08
12186,DanceDanceRevolution,Konami,Konami,X360,2011,Simulation,0.08,,,0.01,0.08
12187,Ken to Mahou to Gakuen Mono. 2,Acquire,ZeroDiv,PSP,2009,Role-Playing,,,0.08,,0.08
12188,Bulletstorm: Full Clip Edition,Gearbox Software,People Can Fly,XOne,2017,Shooter,0.06,0.01,,0.01,0.08
12189,Kaijuu Busters Powered,Namco Bandai,Bandai Namco Games,DS,2011,Action,,,0.08,,0.08
12190,NHL 06,EA Sports,EA Canada,GC,2005,Sports,0.06,0.02,,0.0,0.08
12191,Jimmie Johnson's Anything With an Engine,Konami,Isopod Labs,Wii,2011,Racing,0.08,,,0.01,0.08
12192,Sports Collection,Ubisoft,Ubisoft Pune,DS,2010,Sports,0.06,0.01,,0.01,0.08
12193,Tornado Outbreak,Konami,Loose Cannon Studios,X360,2009,Action,0.07,,,0.01,0.08
12194,Initial D: Extreme Stage,Sega,Sega,PS3,2008,Racing,,,0.08,,0.08
12195,Pinobee: Wings of Adventure,Activision,Artoon,GBA,2001,Platform,0.06,0.02,,0.0,0.08
12196,State of Emergency 2,SouthPeak Interactive,DC Studios,PS2,2006,Shooter,0.04,0.03,,0.01,0.08
12197,Little League World Series Baseball 2010,Activision,Now Production,PS3,2010,Sports,0.07,,,0.01,0.08
